大学名,学部,学科
東京海洋,海洋工,海事システム－後
東京海洋,海洋工,海洋電子機械－後
東京海洋,海洋工,流通情報工－後
東京海洋,海洋資源,海洋環境科学－前
東京海洋,海洋資源,海洋資源エネ－前
東京海洋,海洋資源,海洋環境科学－後
東京海洋,海洋資源,海洋資源エネ－後
東京科学,理,前期
東京科学,工,前期
東京科学,物質理工,前期
東京科学,情報理工,前期
東京科学,生命理工,生命理工学－前
東京科学,環境・社会,前期
東京科学,医,医－前
東京科学,医,保－看護学－前
東京科学,医,保－検査技術－前
東京科学,医,医－後
東京科学,医,保－検査技術－後
東京科学,歯,歯－前
東京科学,歯,口腔保健衛生－前
東京科学,歯,口腔保健工学－前
東京科学,歯,歯－後
東京外国語,言語文化,英語－前
東京外国語,言語文化,ドイツ語－前
東京外国語,言語文化,ポーランド語－前
東京外国語,言語文化,フランス語－前
東京外国語,言語文化,イタリア語－前
東京外国語,言語文化,スペイン語－前
東京外国語,言語文化,ポルトガル語－前
東京外国語,言語文化,ロシア語－前
東京外国語,言語文化,モンゴル語－前
東京外国語,言語文化,中国語－前
東京外国語,言語文化,朝鮮語－前
東京外国語,言語文化,インドネシア－前
東京外国語,言語文化,タイラオス－前
東京外国語,言語文化,ウルドゥー語－前
東京外国語,言語文化,アラビア語－前
東京外国語,国際社会,北西ヨーロ－前
東京外国語,国際社会,中央ヨーロ－前
東京外国語,国際社会,西南ヨーロ－前
東京外国語,国際社会,イベ／ラテン－前
東京外国語,国際社会,ロシア－前
東京外国語,国際社会,中央アジア－前
東京外国語,国際社会,東アジア－前
東京外国語,国際社会,東南アジア①－前
